"","n","Coefficient","value","rescale"
"151","fra","a",-0.26981913779502,2.00793991615563
"152","fra","b",0.0460053403234772,2.00793991615563
"153","fra","c",-0.00195843164794887,2.00793991615563
"154","gab","a",-3.17760832377795,2.03516334489551
"155","gab","b",0.27507979280311,2.03516334489551
"156","gab","c",-0.00594424887690802,2.03516334489551
"157","gbr","a",-0.332087176116647,2.19036659234112
"158","gbr","b",0.0638001738807149,2.19036659234112
"159","gbr","c",-0.00305745392678176,2.19036659234112
"160","geo","a",-0.232416915692842,1.69673073345852
"161","geo","b",0.0511368932578294,1.69673073345852
"162","geo","c",-0.00279033714017481,1.69673073345852
"163","gha","a",-3.54395162000704,1.80109760857965
"164","gha","b",0.281641386951819,1.80109760857965
"165","gha","c",-0.00558365191334984,1.80109760857965
"166","gmb","a",-3.79065189953349,1.72881804585119
"167","gmb","b",0.28923041017218,1.72881804585119
"168","gmb","c",-0.00550393659230796,1.72881804585119
"169","gnb","a",-3.63025719289908,1.74422409514284
"170","gnb","b",0.282195784510416,1.74422409514284
"171","gnb","c",-0.00547127040472867,1.74422409514284
"172","gnq","a",-3.41018613160779,1.84712425344826
"173","gnq","b",0.277449487653477,1.84712425344826
"174","gnq","c",-0.00563204730017489,1.84712425344826
"175","grc","a",-0.368140919370804,1.66054210982598
"176","grc","b",0.05180928722237,1.66054210982598
"177","grc","c",-0.00182225075315938,1.66054210982598
"178","gtm","a",-3.4594437980209,1.93118725934557
"179","gtm","b",0.28538468288228,1.93118725934557
"180","gtm","c",-0.00587533710478466,1.93118725934557
"181","guy","a",-3.46219371885228,1.89955750877986
"182","guy","b",0.28359352074413,1.89955750877986
"183","guy","c",-0.0057967312695284,1.89955750877986
"184","hkg","a",-3.28928078327361,2.91029367429696
"185","hkg","b",0.320092808447494,2.91029367429696
"186","hkg","c",-0.00778271960703689,2.91029367429696
"187","hnd","a",-3.44029382875982,1.93530450764743
"188","hnd","b",0.28456568122574,1.93530450764743
"189","hnd","c",-0.00587424018343956,1.93530450764743
"190","hrv","a",-0.243508590516999,1.82334501837928
"191","hrv","b",0.0417073075310842,1.82334501837928
"192","hrv","c",-0.00178256957982159,1.82334501837928
"193","hti","a",-3.33013138268748,1.89690467159792
"194","hti","b",0.27608785122212,1.89690467159792
"195","hti","c",-0.00571178228391918,1.89690467159792
"196","hun","a",-0.230491533709207,1.76659484483412
"197","hun","b",0.0390978993752733,1.76659484483412
"198","hun","c",-0.0016549320767736,1.76659484483412
"199","idn","a",-3.44251558950661,1.77526359212079
"200","idn","b",0.274513936680592,1.77526359212079
"201","idn","c",-0.00546042461437741,1.77526359212079
"202","ind","a",-3.50321774177261,1.96109610900372
"203","ind","b",0.289639578231248,1.96109610900372
"204","ind","c",-0.00597665581200946,1.96109610900372
"205","irl","a",-0.351614412669562,2.29801786872541
"206","irl","b",0.0692875633948964,2.29801786872541
"207","irl","c",-0.00340583540702163,2.29801786872541
"208","irn","a",-4.9179404774446,11.7533177191738
"209","irn","b",0.623229112371038,11.7533177191738
"210","irn","c",-0.0197444291958578,11.7533177191738
"211","irq","a",-3.62540924923606,3.22571998404568
"212","irq","b",0.354776643745393,3.22571998404568
"213","irq","c",-0.00867543144090462,3.22571998404568
"214","isl","a",-0.00431711523543295,1.57921153294398
"215","isl","b",0.0152198592053001,1.57921153294398
"216","isl","c",-0.00451679195259453,1.57921153294398
"217","isr","a",-3.39369563738698,4.13842801440665
"218","isr","b",0.363865688941007,4.13842801440665
