"","n","Coefficient","value","rescale"
"134","ecu","b",0.227889315184025,2.34559699733248
"135","ecu","c",-0.00569311350379263,2.34559699733248
"136","egy","a",-2.83176359677557,2.47701428000558
"137","egy","b",0.271290214283569,2.47701428000558
"138","egy","c",-0.00649152522913527,2.47701428000558
"139","esp","a",-0.431772251883322,2.43729144821898
"140","esp","b",0.0620627961781197,2.43729144821898
"141","esp","c",-0.0022299349744422,2.43729144821898
"142","est","a",-0.127124129735001,1.63520401831834
"143","est","b",0.0446312096983474,1.63520401831834
"144","est","c",-0.00379167261567181,1.63520401831834
"145","eth","a",-2.4670014320168,2.53684461189043
"146","eth","b",0.247649717186131,2.53684461189043
"147","eth","c",-0.00620967531246722,2.53684461189043
"148","fin","a",-0.0353308104023016,1.5131789582295
"149","fin","b",0.0261718912078504,1.5131789582295
"150","fin","c",-0.00401533451388538,1.5131789582295
"151","fra","a",-0.308031371610864,2.21229238421943
"152","fra","b",0.0527577552102204,2.21229238421943
"153","fra","c",-0.0022567334105627,2.21229238421943
"154","gab","a",-2.9750790749681,1.96868783750359
"155","gab","b",0.258230442464411,1.96868783750359
"156","gab","c",-0.00559380491819029,1.96868783750359
"157","gbr","a",-0.371161239915928,2.37350417382069
"158","gbr","b",0.0716619219488332,2.37350417382069
"159","gbr","c",-0.00345290219013655,2.37350417382069
"160","geo","a",-0.246807507410415,1.75925458322911
"161","geo","b",0.0545861777866985,1.75925458322911
"162","geo","c",-0.00299702710808224,1.75925458322911
"163","gha","a",-3.36410941491686,1.76049085992261
"164","gha","b",0.268009046539778,1.76049085992261
"165","gha","c",-0.0053253133534209,1.76049085992261
"166","gmb","a",-3.61465609085992,1.69515715591258
"167","gmb","b",0.276458690598964,1.69515715591258
"168","gmb","c",-0.00527223104476362,1.69515715591258
"169","gnb","a",-3.45685971650635,1.70880027288687
"170","gnb","b",0.26936823588421,1.70880027288687
"171","gnb","c",-0.00523403222920729,1.70880027288687
"172","gnq","a",-3.22771883782805,1.80174024909856
"173","gnq","b",0.263265745598709,1.80174024909856
"174","gnq","c",-0.0053564108634896,1.80174024909856
"175","grc","a",-0.472578789130354,2.27732674579768
"176","grc","b",0.0667642609058456,2.27732674579768
"177","grc","c",-0.00235761986397226,2.27732674579768
"178","gtm","a",-3.26149261283822,1.87775785483262
"179","gtm","b",0.269738656715157,1.87775785483262
"180","gtm","c",-0.00556617232939273,1.87775785483262
"181","guy","a",-3.26928682783108,1.84933437671377
"182","guy","b",0.268469283621588,1.84933437671377
"183","guy","c",-0.00550028961919648,1.84933437671377
"184","hkg","a",-2.94029196101405,2.70439837939536
"185","hkg","b",0.286961393211429,2.70439837939536
"186","hkg","c",-0.00699638305015414,2.70439837939536
"187","hnd","a",-3.24243858710226,1.88135219324129
"188","hnd","b",0.268883320465354,1.88135219324129
"189","hnd","c",-0.00556348718422843,1.88135219324129
"190","hrv","a",-0.271777554250422,1.96668393672961
"191","hrv","b",0.0467572877859542,1.96668393672961
"192","hrv","c",-0.00200810225953939,1.96668393672961
"193","hti","a",-3.14280178362893,1.84628945631135
"194","hti","b",0.26122402765678,1.84628945631135
"195","hti","c",-0.0054169366587592,1.84628945631135
"196","hun","a",-0.256797636691234,1.90177846215336
"197","hun","b",0.043752983545508,1.90177846215336
"198","hun","c",-0.00186087106217535,1.90177846215336
"199","idn","a",-3.27039348459104,1.73653717541233
"200","idn","b",0.261435655029002,1.73653717541233
"201","idn","c",-0.0052119942180576,1.73653717541233
"202","ind","a",-3.29859493221939,1.90479097379204
"203","ind","b",0.273415269078662,1.90479097379204
"204","ind","c",-0.00565505407067207,1.90479097379204
"205","irl","a",-0.394502503620457,2.50098705756203
"206","irl","b",0.0781360793646957,2.50098705756203
"207","irl","c",-0.00386223386829517,2.50098705756203
"208","irn","a",-33.5400141170586,84.7991700789241
"209","irn","b",4.26557419279554,84.7991700789241
"210","irn","c",-0.135622456168465,84.7991700789241
"211","irq","a",-3.19547400554496,2.95787585430048
"212","irq","b",0.313610988763242,2.95787585430048
"213","irq","c",-0.00769004400467069,2.95787585430048
"214","isl","a",-0.00433607382979298,1.60708703019396
"215","isl","b",0.0153411315287131,1.60708703019396
"216","isl","c",-0.00471072743307764,1.60708703019396
"217","isr","a",-2.83168949921357,3.60843077318684
"218","isr","b",0.304563119152712,3.60843077318684
"219","isr","c",-0.00818640780846861,3.60843077318684
"220","ita","a",-0.140520668188435,0.997838522367163
"221","ita","b",0.0207014907288439,0.997838522367163
"222","ita","c",-0.000762250159511814,0.997838522367163
"223","jam","a",-3.35161152667538,1.74756841198572
"224","jam","b",0.266490340110588,1.74756841198572
"225","jam","c",-0.00528449654016069,1.74756841198572
"226","jor","a",-2.92395386689307,3.70655417214441
"227","jor","b",0.314290590461575,3.70655417214441
"228","jor","c",-0.00844279187376954,3.70655417214441
"229","jpn","a",-0.12396873019839,1.9386121307167
"230","jpn","b",0.0192921065256896,1.9386121307167
"231","jpn","c",-0.000750079118415929,1.9386121307167
"232","kaz","a",-0.246704546571983,1.72443646645173
"233","kaz","b",0.0524841601135123,1.72443646645173
"234","kaz","c",-0.00277330572461969,1.72443646645173
"235","ken","a",-2.56134338110755,2.13437489855698
"236","ken","b",0.23985878352053,2.13437489855698
"237","ken","c",-0.00560768934178401,2.13437489855698
"238","kgz","a",-0.166856155859793,1.60678510547389
"239","kgz","b",0.0476452383828398,1.60678510547389
"240","kgz","c",-0.00333357478936479,1.60678510547389
"241","khm","a",-3.35338299964057,1.82548771058835
"242","khm","b",0.271616100277934,1.82548771058835
"243","khm","c",-0.00548838497567451,1.82548771058835
"244","kor","a",-0.0943939640711191,1.22751656354954
"245","kor","b",0.0145519813802185,1.22751656354954
"246","kor","c",-0.000560423856717171,1.22751656354954
"247","kwt","a",-3.40261593339922,2.16586313733286
"248","kwt","b",0.293859403033739,2.16586313733286
"249","kwt","c",-0.00633619494410005,2.16586313733286
"250","lbn","a",-3.04964097242645,4.6406180898843
"251","lbn","b",0.344322721718159,4.6406180898843
