year,iso3,tag_name,value
1998,BEL,wealth,1.60488373860129
1999,BEL,wealth,1.74175009087006
2000,BEL,wealth,1.87544551087245
2001,BEL,wealth,1.93181683766153
2002,BEL,wealth,1.96359445316209
2003,BEL,wealth,2.02318578987719
2004,BEL,wealth,2.19168162816458
2005,BEL,wealth,2.39336547768521
2006,BEL,wealth,2.60098319174351
2007,BEL,wealth,2.81201916197837
2008,BEL,wealth,2.89148560020327
2009,BEL,wealth,2.90115928801614
2010,BEL,wealth,3.03860114426213
2011,BEL,wealth,3.14251804819141
2012,BEL,wealth,3.23568892777675
2013,BEL,wealth,3.33003232432288
2014,BEL,wealth,3.45600547833026
2015,BEL,wealth,3.53951699945792
2016,BEL,wealth,3.62994489420741
2017,BEL,wealth,3.74896435242189
2018,BEL,wealth,3.86589015623569
2019,BEL,wealth,3.98521948778003
2020,BEL,wealth,4.02752310898033
2021,BEL,wealth,4.31055267590748
1995,BFA,wealth,0.015991798913605
1996,BFA,wealth,0.0189039060756928
1997,BFA,wealth,0.0205880448505001
1998,BFA,wealth,0.0230696328083719
1999,BFA,wealth,0.0252291046508353
2000,BFA,wealth,0.0268530926800203
2001,BFA,wealth,0.0300707253373757
2002,BFA,wealth,0.0327929214884919
2003,BFA,wealth,0.0372114219548693
2004,BFA,wealth,0.0405787171015648
2005,BFA,wealth,0.0467759789803996
2006,BFA,wealth,0.0527631340499831
2007,BFA,wealth,0.0574767188801798
2008,BFA,wealth,0.0639655222687566
2009,BFA,wealth,0.0668126640743127
2010,BFA,wealth,0.075221949454723
2011,BFA,wealth,0.0831445236586553
2012,BFA,wealth,0.0915478569513676
2013,BFA,wealth,0.0957313835912978
2014,BFA,wealth,0.100302468464698
2015,BFA,wealth,0.104912143355927
2016,BFA,wealth,0.111441093718052
2017,BFA,wealth,0.119308113838352
2018,BFA,wealth,0.132042180454043
2019,BFA,wealth,0.143832443972085
2020,BFA,wealth,0.151062923181146
2021,BFA,wealth,0.16259370601716
1995,BGR,wealth,0.529256585753315
1996,BGR,wealth,0.5615501707239
1997,BGR,wealth,0.384251898322323
1998,BGR,wealth,0.396440618533822
1999,BGR,wealth,0.372201171109072
2000,BGR,wealth,0.368996457101729
2001,BGR,wealth,0.376273575471643
2002,BGR,wealth,0.396920273356503
2003,BGR,wealth,0.421882583646594
2004,BGR,wealth,0.435251716422782
2005,BGR,wealth,0.450838122118338
2006,BGR,wealth,0.469859360277407
2007,BGR,wealth,0.487418867826887
2008,BGR,wealth,0.543749511671902
2009,BGR,wealth,0.562150061108448
2010,BGR,wealth,0.584511453605394
2011,BGR,wealth,0.588656280385413
2012,BGR,wealth,0.619974900037008
2013,BGR,wealth,0.643247444185983
2014,BGR,wealth,0.665226718284686
2015,BGR,wealth,0.668789326729185
2016,BGR,wealth,0.688479277899744
2017,BGR,wealth,0.701567205807879
2018,BGR,wealth,0.716297993349492
2019,BGR,wealth,0.745693786126166
2020,BGR,wealth,0.730543565470153
2021,BGR,wealth,0.784887125275998
1995,BHR,wealth,0.0191251715267118
1996,BHR,wealth,0.0224416943313789
1997,BHR,wealth,0.0241253258443046
1998,BHR,wealth,0.0260277429209307
1999,BHR,wealth,0.0271529166854168
2000,BHR,wealth,0.0278332757141213
2001,BHR,wealth,0.0288886312610494
2002,BHR,wealth,0.0293369655367092
2003,BHR,wealth,0.0311624946274592
2004,BHR,wealth,0.0352902229992408
2005,BHR,wealth,0.0430478634291855
2006,BHR,wealth,0.0501371069085355
2007,BHR,wealth,0.0582169029002338
2008,BHR,wealth,0.065187904003312
2009,BHR,wealth,0.0648077524922677
2010,BHR,wealth,0.0695737999669927
2011,BHR,wealth,0.0708492557905772
2012,BHR,wealth,0.0876568395267745
2013,BHR,wealth,0.0979896449326919
2014,BHR,wealth,0.101900135326003
2015,BHR,wealth,0.0996731262657798
2016,BHR,wealth,0.107358742706106
2017,BHR,wealth,0.116413708918598
2018,BHR,wealth,0.119161844823466
2019,BHR,wealth,0.114621668631963
2020,BHR,wealth,0.114363684096573
2021,BHR,wealth,0.124070439690797
1995,BDI,wealth,0.0102854088806831
1996,BDI,wealth,0.00943348293064056
1997,BDI,wealth,0.00971572145789145
1998,BDI,wealth,0.0103253697747336
1999,BDI,wealth,0.0101307797402705
2000,BDI,wealth,0.0105948646743663
2001,BDI,wealth,0.0110666956570902
2002,BDI,wealth,0.011554110885421
2003,BDI,wealth,0.0111316458419675
2004,BDI,wealth,0.0123047148410247
2005,BDI,wealth,0.0137881168341281
2006,BDI,wealth,0.016178390101397
2007,BDI,wealth,0.0176017221283805
2008,BDI,wealth,0.0196638420465923
2009,BDI,wealth,0.0218285520021317
2010,BDI,wealth,0.0245186711697306
2011,BDI,wealth,0.0256548581087775
2012,BDI,wealth,0.0274137524129851
2013,BDI,wealth,0.0294747500828722
2014,BDI,wealth,0.0311276006949833
2015,BDI,wealth,0.0297213082881958
2016,BDI,wealth,0.0294212055679118
2017,BDI,wealth,0.0302463372342934
2018,BDI,wealth,0.0315217891773742
2019,BDI,wealth,0.0328941578571856
2020,BDI,wealth,0.0337774549202601
2021,BDI,wealth,0.0359153245318739
1995,BEN,wealth,0.0141161529201415
1996,BEN,wealth,0.0158184650536082
1997,BEN,wealth,0.0176496178314726
1998,BEN,wealth,0.019261579920953
1999,BEN,wealth,0.021608740533326
2000,BEN,wealth,0.0239290571902721
2001,BEN,wealth,0.0264485887529837
2002,BEN,wealth,0.029154272594039
2003,BEN,wealth,0.0319587225530095
2004,BEN,wealth,0.0356980206445615
2005,BEN,wealth,0.0383477320372045
2006,BEN,wealth,0.0431002892895723
2007,BEN,wealth,0.0492877940121816
2008,BEN,wealth,0.0539114688114267
2009,BEN,wealth,0.0555753120162005
2010,BEN,wealth,0.0572072338811999
2011,BEN,wealth,0.0612054211716947
2012,BEN,wealth,0.0658773329973266
2013,BEN,wealth,0.0726249539668742
2014,BEN,wealth,0.079279018357242
2015,BEN,wealth,0.0817114345005023
2016,BEN,wealth,0.0852940408339874
2017,BEN,wealth,0.0919573447076624
2018,BEN,wealth,0.100346755349424
2019,BEN,wealth,0.110311616306741
2020,BEN,wealth,0.117827367176937
2021,BEN,wealth,0.128114270094209
1995,BMU,wealth,0.000989477696174815
1996,BMU,wealth,0.0025188191750667
1997,BMU,wealth,0.0031777911624501
1998,BMU,wealth,0.00348165066582613
1999,BMU,wealth,0.00406434710940213
2000,BMU,wealth,0.0047719117410735
2001,BMU,wealth,0.00555120215326337
2002,BMU,wealth,0.00610803617353129
2003,BMU,wealth,0.0077500588611397
2004,BMU,wealth,0.00839627705767603
2005,BMU,wealth,0.0101136566028777
2006,BMU,wealth,0.0118470060444861
2007,BMU,wealth,0.0138701843039448
2008,BMU,wealth,0.0130984712368091
2009,BMU,wealth,0.0130085943522642
2010,BMU,wealth,0.0131326111128632
2011,BMU,wealth,0.0104538619381338
2012,BMU,wealth,0.0115193621370281
2013,BMU,wealth,0.0122815545671296
2014,BMU,wealth,0.0132174434112589
2015,BMU,wealth,0.0135575094894829
2016,BMU,wealth,0.0132779244652662
2017,BMU,wealth,0.0139022505362478
2018,BMU,wealth,0.0152181507286202
2019,BMU,wealth,0.0121503999218763
2020,BMU,wealth,0.0118770510838452
2021,BMU,wealth,0.0116511075271828
1995,BRN,wealth,0.107834010161609
1996,BRN,wealth,0.112262138253136
1997,BRN,wealth,0.109176560078555
1998,BRN,wealth,0.116131016706268
1999,BRN,wealth,0.120809085298335
2000,BRN,wealth,0.117914993674826
2001,BRN,wealth,0.127350681026969
2002,BRN,wealth,0.129203996201649
2003,BRN,wealth,0.13020920577232
2004,BRN,wealth,0.130920655871665
2005,BRN,wealth,0.131126093636936
2006,BRN,wealth,0.137769220337221
2007,BRN,wealth,0.140655515797377
2008,BRN,wealth,0.132735427469428
2009,BRN,wealth,0.138823943287367
2010,BRN,wealth,0.135063198216134
2011,BRN,wealth,0.13104871385875
2012,BRN,wealth,0.133317977113691
2013,BRN,wealth,0.136550972636656
2014,BRN,wealth,0.141282719051391
2015,BRN,wealth,0.160104943742622
2016,BRN,wealth,0.160157975209804
2017,BRN,wealth,0.162737399995271
2018,BRN,wealth,0.156832796098067
2019,BRN,wealth,0.170607274080747
2020,BRN,wealth,0.175107407570822
2021,BRN,wealth,0.182304245878277
1995,BOL,wealth,0.0849170180894773
1996,BOL,wealth,0.0916262121997915
1997,BOL,wealth,0.100802517610177
1998,BOL,wealth,0.105925209251214
1999,BOL,wealth,0.107300572762864
2000,BOL,wealth,0.112344234804706
2001,BOL,wealth,0.117878382194253
2002,BOL,wealth,0.122041398718439
2003,BOL,wealth,0.128284146396352
2004,BOL,wealth,0.134125667547337
2005,BOL,wealth,0.128682243884082
2006,BOL,wealth,0.146206104660068
2007,BOL,wealth,0.164466533073928
2008,BOL,wealth,0.188200553419363
2009,BOL,wealth,0.200314293623268
2010,BOL,wealth,0.210056266579908
2011,BOL,wealth,0.226733275200955
2012,BOL,wealth,0.239815370330254
2013,BOL,wealth,0.26225387020085
2014,BOL,wealth,0.285557244890648
2015,BOL,wealth,0.304392886168121
2016,BOL,wealth,0.324351172446412
2017,BOL,wealth,0.340551202668424
2018,BOL,wealth,0.365403107269539
2019,BOL,wealth,0.377407439720764
2020,BOL,wealth,0.347094447641415
2021,BOL,wealth,0.379496431294541
1995,BRA,wealth,2.69429862107775
1996,BRA,wealth,2.87987970570899
1997,BRA,wealth,3.10306769586733
1998,BRA,wealth,3.21903050474564
1999,BRA,wealth,3.33236586995647
2000,BRA,wealth,3.60339392236852
2001,BRA,wealth,3.87848795531255
2002,BRA,wealth,3.97014646043523
2003,BRA,wealth,4.12354596881329
2004,BRA,wealth,4.64925269977601
2005,BRA,wealth,5.06145868375598
2006,BRA,wealth,5.43756756767241
2007,BRA,wealth,6.1656931664724
2008,BRA,wealth,6.80029989545288
2009,BRA,wealth,7.44110621498927
2010,BRA,wealth,8.34859321113309
2011,BRA,wealth,9.2424093007708
2012,BRA,wealth,9.9269527409178
2013,BRA,wealth,10.5466906992504
2014,BRA,wealth,10.9487157578502
2015,BRA,wealth,10.5900560353667
2016,BRA,wealth,10.0718979931251
2017,BRA,wealth,10.0452534547521
2018,BRA,wealth,10.0237522420036
2019,BRA,wealth,10.4365769456193
